geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Flint,MI,Metro,310M400US22420,325944,7.8,83.5,9.1,2.4,1,0.7,3.3,25.8,8.6,5.3,11.4,11.2,15.2,16.7,12.3,12.2,4.1,2.9,48127,18393,37.7,26.9,21380,65.2,48.4,4.7,13.4
Florence,SC,Metro,310M400US22500,163126,5.9,84.1,9.2,0.7,1.2,0.8,4.1,22.1,11.9,4.9,14.8,9.9,13.7,18.4,9.8,10.3,3.3,3.1,42612,21995,38.1,19.2,19620,59.9,41.7,10.7,14
Florence-Muscle Shoals,AL,Metro,310M400US22520,121777,3,90.4,6.1,0,1.1,1,1.3,22.8,7.3,5.5,12.9,9.8,15.1,20.6,10.4,11.8,2.6,3.9,49407,18340,37.7,24.6,23383,70.6,35.7,8.5,10.6
Fond du Lac,WI,Metro,310M400US22540,83684,3.2,81.1,9,0.7,3.9,1.8,3.5,20.2,5,5.7,9.2,8.4,14.2,21.8,14.1,15,4.1,2.4,57415,13841,36.1,21,18356,76.2,32,3.6,8.2
Forest City,NC,Micro,310M400US22580,55558,9.5,83.3,10.7,0,0.7,2.6,2.6,25.1,10.3,7.6,15.3,8.8,14.8,17.6,11,9.3,1.6,3.6,43111,14475,42.7,21.3,21210,59.9,44.4,12.3,16
Fort Collins,CO,Metro,310M400US22660,288748,4.1,73.5,7.7,1.1,4,3.4,10.3,23.4,4.7,2.9,7.4,6.8,11.4,19.6,13.2,18.8,8.1,7.2,71091,21597,25.8,15.6,33360,75.5,29.3,6,5.4
Fort Payne,AL,Micro,310M400US22840,57239,3.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,26.1,10.3,8.1,14.8,14.8,11.8,15.7,11.1,8.2,2.2,3,36998,20356,42.2,18.4,15738,60.2,38.7,13.8,18.2
Fort Smith,AR-OK,Metro,310M400US22900,222830,3.8,84.8,9.5,0.1,1.3,1.2,3,21.3,8.1,6.6,13,12.9,15.6,16.6,10.5,10.5,3.5,2.5,44317,18549,35.4,18.9,20461,53,45.3,12.8,13.1
Fort Wayne,IN,Metro,310M400US23060,339499,4,84.3,8.1,0.5,1.6,1.3,4.1,22.4,5,4,9.9,10.2,15.6,19.3,15.1,12.4,5,3.5,55491,19825,30,17.4,21339,69.6,33.5,8.4,9.2
Frankfort,KY,Micro,310M400US23180,59091,7.7,86.9,8.1,0.3,1.6,0.7,2.5,20.9,4.9,4.6,8,12.5,16.7,19.8,14.2,13,4,2.4,52134,15073,33.5,31,28191,70.4,37,7.7,10.2
Fresno,CA,Metro,310M400US23420,741706,8.1,79,12.4,1.1,1.8,1.7,4,23.1,6.7,5.6,11.6,10.3,13.4,17.4,11.7,13.5,5.2,4.5,52629,19890,26.7,16.4,28569,51,51.5,7.5,17.2
Gadsden,AL,Metro,310M400US23460,82575,5.2,88.8,8.7,0,0.6,0.4,1.5,23.8,5.6,5.6,14.1,14.5,13.9,14.9,13.4,13.4,2.4,2.2,45868,17178,40.8,26.2,23803,67.8,39.6,9.5,14.1
