geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Walla Walla,WA,Metro,310M400US47460,53626,4.7,73.9,11.4,0.4,6.2,2.2,6,16.7,7.5,6.7,8.4,8.1,11,19.5,12.9,15.7,7.5,2.7,59704,12524,37.8,19.8,27089,61.7,45.8,7.7,5.9
Warner Robins,GA,Metro,310M400US47580,152032,5.6,85,9.8,0.1,0.5,2,2.6,23.4,4.8,4.7,9.8,11.9,15.6,16,10,14.7,5.7,6.7,54024,24356,26.6,24,27565,71.1,33.4,10.4,13.6
Warsaw,IN,Micro,310M400US47700,62008,3.2,77.6,14.8,0.4,1.9,1,4.3,18.3,4.1,3.6,5.8,11.8,16.6,23.1,13,15.1,3.4,3.4,55253,17469,31.3,18.4,17987,72.8,31,8.6,5.6
Washington-Arlington-Alexandria,DC-VA-MD-WV,Metro,310M400US47900,4975028,4.7,65.8,9.2,13,3.3,2.6,6.1,34.9,3.9,2.1,4.4,4.6,7.6,13.5,12.5,20.1,12.6,18.8,102180,31222,22.4,19.2,44186,77.8,25.8,7.5,5
Waterloo-Cedar Falls,IA,Metro,310M400US47940,136796,4.1,81.1,8.2,0.3,3.8,1.1,5.6,17.7,5.7,5.9,8.7,11.8,12,19.7,13.4,13.8,4.9,4,56245,17003,32.5,18.8,21535,74.2,38.3,3.7,9.4
Watertown-Fort Atkinson,WI,Micro,310M400US48020,70074,3,81.7,9.2,0.1,3.7,1,4.3,23.9,3.3,3.5,8.9,8.6,12.2,21.5,12.9,18.6,6.1,4.4,65651,16339,32.4,18.6,20860,78.9,31,5.2,6.4
Watertown-Fort Drum,NY,Metro,310M400US48060,87104,5,80.8,7.5,0.6,3.1,1.7,6.2,20.1,8.3,3.2,8.6,12.8,13.9,22.4,13.5,11.8,3.3,2.1,53146,11794,29.4,24.1,23375,70.1,40.9,6.1,6.7
Wausau,WI,Metro,310M400US48140,108677,2.5,80,10.3,0.5,2.3,1.5,5.4,18.1,2.9,4.3,7.8,10.1,13.3,21.6,14.9,16.4,4.8,4,62890,21572,34.4,19.7,19155,78,31.1,5.2,3.9
Weirton-Steubenville,WV-OH,Metro,310M400US48260,99614,6.1,86.6,4.7,0.5,4.4,0.1,3.6,23,8,7.6,13.1,13.1,13.3,19.5,10.1,11.4,1.6,2.4,43747,18298,43.7,29.4,17362,62.3,49.3,5.3,11.5
Wenatchee,WA,Metro,310M400US48300,93724,2.8,79.3,6.2,0.3,5.3,2,6.8,18.7,3,2.2,10.6,10.6,13.7,23.1,11.3,12.3,7.1,6,61714,24136,35.7,20.7,26929,60.6,45,10.6,6.2
Wheeling,WV-OH,Metro,310M400US48540,116836,4.1,87.6,5.8,0.5,2.1,0.7,3.3,23,5.9,7.2,11.1,11.6,14.3,18.8,13.1,11.4,3.8,2.7,49749,13589,42.3,26.1,20621,67.8,42,6.4,8.5
Whitewater-Elkhorn,WI,Micro,310M400US48580,84938,2.5,82.3,7.1,0.3,3.8,1.3,5.2,25.8,4.7,4.4,6.7,9.1,13.7,20,15,15.8,5.4,5.2,63800,17326,32.9,18.6,26168,72.9,33.7,8,6
Wichita,KS,Metro,310M400US48620,498466,4.2,82.3,10,0.4,1.7,1.9,3.8,20.3,5.5,4.3,10.6,10,13.5,19.5,12.8,14.2,5.5,4,56909,17427,30.7,19.4,19985,69.8,31.7,10.2,9.3
Wichita Falls,TX,Metro,310M400US48660,121435,5.4,76.4,9.9,0.6,7.5,1.3,4.3,17.9,9,6.1,12.2,8.9,13.7,16.2,14.4,14,3.5,2.3,50309,15360,33.8,20.4,25484,64.1,36.1,13.2,12.3
Williamsport,PA,Metro,310M400US48700,93463,5.2,82.4,9.2,0.4,4.4,0.7,2.9,21.6,7.2,3.9,10.5,8.4,13.9,21.8,13.5,14.9,2.6,3.4,55045,12444,39,21.7,24064,69.4,40.1,6.6,8.9
Wilmington,NC,Metro,310M400US48900,244872,4.3,83.4,6.2,0.4,1.9,0.6,7.4,21.6,9.7,4.4,9.9,8.2,13.9,19,12.6,12.2,4.7,5.4,52756,20241,33.3,21.5,27964,71.2,35.2,9.6,9.3
Wilson,NC,Micro,310M400US48980,64386,6.6,80.3,14.8,0.5,0.4,1.3,2.8,22.1,10.2,8.9,16.5,8.5,10.8,17.5,9.9,11,3.2,3.5,42769,17122,39.4,22.1,22514,57.7,43.3,11.7,14.6
Winchester,VA-WV,Metro,310M400US49020,114065,2.8,80,10.6,1,1.7,0.6,6.1,31.6,2.6,3.8,9.1,9.7,13.6,18.2,14.3,14.6,7.7,6.4,65170,18688,36.4,22.8,27942,67.7,33.6,11.5,9
Winston-Salem,NC,Metro,310M400US49180,541219,5,82.7,10,0.8,1,0.9,4.7,23.5,7.3,5.2,11.6,10.7,16.6,17.7,12.3,11.2,3.6,3.8,48699,20296,35.1,19.5,21233,64.1,36.6,11.2,12.1
Wisconsin Rapids-Marshfield,WI,Micro,310M400US49220,59152,2.6,85.5,7.1,0,2.3,0.5,4.5,18.8,4.5,4.7,9.4,10.3,16.3,22.4,15.6,10.8,2.2,3.9,55273,14482,37.9,22.9,20866,67.7,41.9,5.5,8.3
Wooster,OH,Micro,310M400US49300,91122,3.1,79.9,10,0,3.2,2.1,4.8,20.8,4,2.4,10,10.4,14.2,23,17,13,3.3,2.8,59111,12498,38.1,23.3,24449,67.5,32.8,13.5,4.4
Worcester,MA-CT,Metro,310M400US49340,775749,4.8,80.7,7.4,1.7,3.1,1.7,5.4,30.2,5.3,3.9,8.6,6.6,10.8,17.2,12.8,16.9,8.9,8.9,70869,22712,31.2,16.9,29576,73.5,37,2.6,6.2
Yakima,WA,Metro,310M400US49420,184095,5.1,83.9,9.9,0.2,2,2.1,1.8,19.5,6.8,5.3,10.8,8.7,16.1,20.3,14.1,11.5,4,2.4,51555,13527,31.4,17.9,24500,45.5,49.9,15.4,12.7
York-Hanover,PA,Metro,310M400US49620,361664,4.5,82.7,9.6,0.7,1.1,1,4.8,27,4.6,3.6,7.7,9.1,12.5,19.8,14.5,16.6,6.8,4.7,65239,18327,34.9,22.2,21404,74.1,36,5.4,6
Youngstown-Warren-Boardman,OH-PA,Metro,310M400US49660,445710,6.8,84,7.3,0.9,2,1.6,4.3,21.8,8.1,6.2,12.1,10.7,14.5,18.6,12.1,11.9,3.3,2.6,47476,16561,40.7,26,20788,62,47.1,5.9,13.2
Yuba City,CA,Metro,310M400US49700,133540,8.7,77.1,12.3,0.4,1.9,2.6,5.7,29.2,5.1,5.2,9.5,10.6,15.9,16.4,13,14.5,6.6,3,54745,18780,34.2,23,32835,58.1,45.2,7.6,11.1
Yuma,AZ,Metro,310M400US49740,164347,7.6,82.1,12.6,0.7,1.7,1,1.9,20.2,8.2,5.2,13.9,13.2,14.1,17.9,12.4,10,3.2,1.8,43403,15632,35.5,22.6,27414,55.3,50.7,9.7,16.3
Zanesville,OH,Micro,310M400US49780,69228,5.7,83.9,8.1,0.5,4.5,1,2,25.4,8.3,6.2,12.7,9.4,13.7,17.7,13.5,13.4,2.9,2.1,49602,16146,35.4,24.9,32332,61.5,45.2,5.5,13.4
